"","USGS 11087020","LACDPW F313B","LACDPW G44B","Rincon Ditch Company Well 4","San Gabriel Valley Water Company Well B2","City of Whittier Well 18","City of Whittier Well 15","SJC-001","SJC-002","WN001","POM001"
"BW 1-1",1959.88211050867,4778.81404911882,4101.32931246659,6175.08854566787,1749.88211050881,4561.61006038587,3663.39975529839,15901.4161343644,1093.59746069892,4221.94196908864,25537.1939601678
"BW 1-2",1896.88211050847,4715.81404911862,4038.32931246639,6112.08854566767,1686.88211050861,4498.61006038567,3600.39975529819,15838.4161343642,1030.59746069872,4158.94196908843,25474.1939601676
"AW 1-1",1797.88211050853,4616.81404911867,3939.32931246645,6013.08854566773,1587.88211050867,4399.61006038573,3501.39975529825,15739.4161343643,931.597460698773,4059.94196908849,25375.1939601676
"AW 1-2",1761.88211050852,4580.81404911866,3903.32931246644,5977.08854566772,1551.88211050866,4363.61006038572,3465.39975529824,15703.4161343643,895.597460698766,4023.94196908848,25339.1939601676
"SW 1-2",1509.88211050867,4328.81404911882,3651.32931246659,5725.08854566787,1299.88211050881,4111.61006038587,3213.39975529839,15451.4161343644,643.597460698918,3771.94196908863,25087.1939601678
"BW 1-4",1476.88211050846,4295.8140491186,3618.32931246638,5692.08854566766,1266.8821105086,4078.61006038566,3180.39975529818,15418.4161343642,610.597460698707,3738.94196908842,25054.1939601676
"SW 1-3R",1434.88211050864,4253.81404911879,3576.32931246656,5650.08854566784,1224.88211050878,4036.61006038584,3138.39975529836,15376.4161343644,568.597460698893,3696.94196908861,25012.1939601678
"BW 1-10R",1455.88211050855,4274.8140491187,3597.32931246647,5671.08854566775,1245.88211050869,4057.61006038575,3159.39975529827,15397.4161343643,589.597460698798,3717.94196908851,25033.1939601677
"MF 1-1R",1427.82849218007,4246.76043079022,3569.27569413799,5643.03492733927,1217.82849218021,4029.55644205727,3131.34613696979,15369.3625160358,465.794835094282,3689.88835076003,24909.3913345631
"MF 1-2RR",1677.88211050862,4496.81404911877,3819.32931246654,5893.08854566782,1467.88211050876,4279.61006038582,3381.39975529834,15619.4161343644,811.597460698871,3939.94196908859,25255.1939601677
"SW 1-1",1710.88211050862,4529.81404911877,3852.32931246654,5926.08854566782,1500.88211050876,4312.61006038582,3414.39975529834,15652.4161343644,844.597460698871,3972.94196908858,25288.1939601677
"BW 1-3",1713.88211050863,4532.81404911878,3855.32931246655,5929.08854566783,1503.88211050877,4315.61006038583,3417.39975529835,15655.4161343644,847.597460698878,3975.9419690886,25291.1939601677
"AW 1-7",1632.88211050858,4451.81404911873,3774.32931246651,5848.08854566779,1422.88211050872,4234.61006038578,3336.3997552983,15574.4161343644,766.597460698831,3894.94196908855,25210.1939601677
"AW 1-4R",1352.9539885421,4171.88592715224,3494.40119050002,5568.1604237013,1142.95398854224,3954.6819384193,3056.47163333181,15294.4880123979,540.669338732259,3615.01384712206,24984.2658382011
"MF 1-3R",1713.88211050863,4532.81404911878,3855.32931246655,5929.08854566783,1503.88211050877,4315.61006038583,3417.39975529835,15655.4161343644,847.597460698878,3975.9419690886,25291.1939601677
"BW 1-5R",1173.93194495095,3992.8638835611,3315.37914690887,5389.13838011015,963.931944951092,3775.65989482815,2877.44958974067,15115.4659688067,617.982273812715,3435.99180353091,25061.5787732816
"SW 1-4R",1650.88211050848,4469.81404911863,3792.3293124664,5866.08854566768,1440.88211050862,4252.61006038568,3354.3997552982,15592.4161343642,784.597460698729,3912.94196908844,25228.1939601676
