"","USGS 11087020","LACDPW F313B","LACDPW G44B","Rincon Ditch Company Well 4","San Gabriel Valley Water Company Well B2","City of Whittier Well 18","City of Whittier Well 15","SJC-001","SJC-002","WN001","POM001"
"SW 1-6R",1301.95398854198,4120.88592715212,3443.4011904999,5517.16042370118,1091.95398854212,3903.68193841918,3005.4716333317,15243.4880123977,591.669338732376,3564.01384712194,25035.2658382012
"BW 1-6R",1383.71937174854,4202.65131035868,3525.16657370646,5598.92580690774,1173.71937174868,3985.44732162574,3087.23701653826,15325.2533956043,517.434721938786,3645.7792303285,24961.0312214076
"BW-1-7R",786.931944950869,3605.86388356101,2928.37914690879,5002.13838011007,576.931944951009,3388.65989482807,2490.44958974059,14728.4659688066,1004.9822738128,3048.99180353083,25448.5787732817
"MF-1-4",831.931944950957,3650.8638835611,2973.37914690888,5047.13838011016,621.931944951098,3433.65989482816,2535.44958974068,14773.4659688067,959.982273812711,3093.99180353092,25403.5787732816
"BW-1-8R",822.931944950939,3641.86388356108,2964.37914690886,5038.13838011014,612.93194495108,3424.65989482814,2526.44958974066,14764.4659688067,968.982273812726,3084.9918035309,25412.5787732816
"BW-2-1R",299.999999999915,3118.93193861006,2441.44720195784,4515.20643515912,90.0000000000558,2901.72794987712,2003.51764478963,14241.5340238557,1491.91421876375,2562.05985857988,25935.5107182326
"MF-2-1R",216.000000000013,3034.93193861016,2357.44720195793,4431.20643515921,6.00000000015348,2817.72794987721,1919.51764478973,14157.5340238558,1575.91421876365,2478.05985857998,26019.5107182325
"AW 1-5",759.931944950868,3578.86388356101,2901.37914690879,4975.13838011007,549.931944951009,3361.65989482807,2463.44958974059,14701.4659688066,1031.9822738128,3021.99180353083,25475.5787732817
"AW 1-6",672.931944950975,3491.86388356112,2814.3791469089,4888.13838011018,462.931944951115,3274.65989482818,2376.44958974069,14614.4659688067,1118.98227381269,2934.99180353094,25562.5787732816
"SW 1-5",500.999999999975,3319.93193861012,2642.4472019579,4716.20643515918,291.000000000116,3102.72794987718,2204.51764478969,14442.5340238557,1290.91421876369,2763.05985857994,25734.5107182326
"BW 1-9",428.999999999952,3247.9319386101,2570.44720195787,4644.20643515915,219.000000000093,3030.72794987715,2132.51764478967,14370.5340238557,1362.91421876372,2691.05985857992,25806.5107182326
"BW-2-4",12.0000000001448,2806.93193861,2129.44720195778,4203.20643515906,222.000000000004,2589.72794987706,1691.51764478957,13929.5340238556,1803.91421876381,2250.05985857982,26247.5107182327
"BW-2-5",27.000000000101,2791.93193861004,2114.44720195782,4188.2064351591,236.99999999996,2574.7279498771,1676.51764478962,13914.5340238557,1818.91421876377,2235.05985857986,26262.5107182326
"BW-2-3",51.0000000000734,2767.93193861007,2090.44720195785,4164.20643515913,260.999999999933,2550.72794987713,1652.51764478965,13890.5340238557,1842.91421876374,2211.05985857989,26286.5107182326
"BW-2-2",90.0000000000539,2728.93193861009,2051.44720195787,4125.20643515915,299.999999999913,2511.72794987715,1613.51764478967,13851.5340238557,1881.91421876372,2172.05985857991,26325.5107182326
"AW-2-1",174.000000000168,2644.93193860998,1967.44720195775,4041.20643515903,384.000000000028,2427.72794987703,1529.51764478955,13767.5340238556,1965.91421876384,2088.05985857979,26409.5107182327
"BW-2-9",243.000000000113,2575.93193861003,1898.44720195781,3972.20643515909,452.999999999972,2358.72794987709,1460.51764478961,13698.5340238557,2034.91421876378,2019.05985857985,26478.5107182326
"AW-2-2",300.000000000126,2518.93193861002,1841.4472019578,3915.20643515907,509.999999999985,2301.72794987708,1403.51764478959,13641.5340238556,2091.91421876379,1962.05985857984,26535.5107182327
"BW-2-8",327.000000000013,2491.93193861013,1814.44720195791,3888.20643515919,536.999999999873,2274.72794987719,1376.51764478971,13614.5340238558,2118.91421876368,1935.05985857995,26562.5107182325
"BW-2-7",378.000000000087,2440.93193861006,1763.44720195783,3837.20643515911,587.999999999946,2223.72794987711,1325.51764478963,13563.5340238557,2169.91421876375,1884.05985857988,26613.5107182326
"BW-2-6",351.000000000038,2467.93193861011,1790.44720195788,3864.20643515916,560.999999999897,2250.72794987716,1352.51764478968,13590.5340238557,2142.9142187637,1911.05985857993,26586.5107182326
"MF-5-2R (1)",2847.68537612338,28.7534375132382,3140.29111419546,5214.05034739674,3057.68537612324,3600.57186211474,1144.16773133366,14940.3779360933,4639.59959488705,3260.9037708175,29083.1960943559
"BW-3-4",481.902289272827,2337.02964933732,1659.54491268509,3733.30414588637,691.902289272687,2119.82566060437,1221.61535551689,13459.6317345829,2273.81650803649,1780.15756930714,26717.4130075054
"BW-3-5",469.282078888706,2349.64985972144,1672.16512306922,3745.92435627049,679.282078888566,2132.44587098849,1234.23556590101,13472.2519449671,2261.19629765237,1792.77777969126,26704.7927971212
"AW-3-1",463.282078888788,2355.64985972136,1678.16512306913,3751.92435627041,673.282078888648,2138.44587098841,1240.23556590093,13478.251944967,2255.19629765246,1798.77777969117,26698.7927971213
"BW 2-10R",351.000000000038,2467.93193861011,1790.44720195788,3864.20643515916,560.999999999897,2250.72794987716,1352.51764478968,13590.5340238557,2142.9142187637,1911.05985857993,26586.5107182326
"BW-3-6",499.902289272833,2319.02964933731,1641.54491268509,3715.30414588637,709.902289272693,2101.82566060437,1203.61535551689,13441.6317345829,2291.8165080365,1762.15756930713,26735.4130075054
"BW-3-7",514.902289272816,2304.02964933733,1626.54491268511,3700.30414588638,724.902289272675,2086.82566060439,1188.6153555169,13426.631734583,2306.81650803648,1747.15756930715,26750.4130075053
"BW-3-8",589.902289272807,2229.02964933734,1551.54491268511,3625.30414588639,799.902289272666,2011.82566060439,1113.61535551691,13351.631734583,2381.81650803647,1672.15756930716,26825.4130075053
"BW-3-1",577.902289272883,2241.02964933726,1563.54491268504,3637.30414588632,787.902289272742,2023.82566060432,1125.61535551684,13363.6317345829,2369.81650803655,1684.15756930708,26813.4130075054
"MF-3-1",647.018143154817,2171.91379545533,1494.4290588031,3568.18829200438,857.018143154677,1954.70980672238,1056.4995016349,13294.515880701,2438.93236191848,1615.04171542515,26882.5288613873
"BW-3-3",704.018143154749,2114.9137954554,1437.42905880317,3511.18829200445,914.018143154609,1897.70980672245,999.49950163497,13237.515880701,2495.93236191841,1558.04171542521,26939.5288613873
"BW-3-9",842.981283646387,1975.95065496376,1298.46591831154,3372.22515151281,1052.98128364625,1758.74666623081,860.536361143333,13098.5527402094,2634.89550241005,1419.07857493358,27078.4920018789
"BW-3-10",920.98128364624,1897.9506549639,1220.46591831168,3294.22515151296,1130.9812836461,1680.74666623096,782.536361143479,13020.5527402095,2712.8955024099,1341.07857493372,27156.4920018788
"BW-3-2",1137.42073194285,2107.51120666716,1004.02647001507,3077.78570321635,1347.42073194271,1464.30721793435,992.096912846731,12804.1132919129,2929.33495070652,1124.63912663711,27372.9314501754
"MF-3-2",1495.27407830658,2465.36455303088,646.173123651342,2719.93235685262,1705.27407830644,1106.45387157062,1349.95025921046,12446.2599455492,3287.18829707025,766.785780273383,27730.7847965391
"SY-3-1",1384.27407830654,2354.36455303084,757.173123651383,2830.93235685266,1594.2740783064,1217.45387157066,1238.95025921042,12557.2599455492,3176.18829707021,877.785780273424,27619.7847965391
"BE-3-1",1444.27407830663,2414.36455303094,697.173123651287,2770.93235685257,1654.27407830649,1157.45387157057,1298.95025921051,12497.2599455491,3236.1882970703,817.785780273328,27679.7847965392
"BW-3-11",1486.27407830643,2456.36455303073,655.173123651493,2728.93235685277,1696.27407830629,1115.45387157077,1340.95025921031,12455.2599455493,3278.18829707009,775.785780273535,27721.784796539
"BW-4-1",1903.10470755952,2873.19518228383,238.342494398397,2312.10172759968,2113.10470755938,698.623242317677,1757.7808884634,12038.4293162962,3695.01892632319,358.955151020438,28138.6154257921
"SW-4-1",1921.10470755951,2891.19518228381,220.342494398411,2294.10172759969,2131.10470755937,680.62324231769,1775.78088846339,12020.4293162963,3713.01892632318,340.955151020452,28156.615425792
"AW-5-4",2312.63481304507,3282.72528776937,215.430195267689,2289.18942846897,2522.63481304493,289.093136832133,2167.31099394895,12015.5170171655,4104.54903180873,50.574954465105,28548.1455312776
"MF-5-5",2303.63481304523,3273.72528776953,206.430195267846,2280.18942846913,2513.63481304508,298.093136831976,2158.3109939491,12006.5170171657,4095.54903180889,41.5749544652624,28539.1455312778
"BW-5-5",2294.63481304492,3264.72528776923,197.430195267546,2271.18942846882,2504.63481304478,307.093136832277,2149.3109939488,11997.5170171654,4086.54903180859,32.5749544649617,28530.1455312775
"BW-5-3",2289.05985858001,3259.15033330431,191.855240802629,2265.61447400391,2499.05985857987,312.668091297193,2143.73603948389,11991.9420627005,4080.97407734368,27.0000000000449,28524.5705768125
"BW-5-10",2289.05985858001,3259.15033330431,191.855240802629,2265.61447400391,2499.05985857987,312.668091297193,2143.73603948389,11991.9420627005,4080.97407734368,27.0000000000449,28524.5705768125
"AW-5-6",2312.63481304507,3282.72528776937,215.430195267689,2289.18942846897,2522.63481304493,289.093136832133,2167.31099394895,12015.5170171655,4104.54903180873,50.574954465105,28548.1455312776
"BW-5-11",2286.05985857981,3256.15033330411,188.85524080243,2262.61447400371,2496.05985857967,315.668091297392,2140.73603948369,11988.9420627003,4077.97407734348,23.9999999998461,28521.5705768123
"BW-5-4",2289.05985858001,3259.15033330431,191.855240802629,2265.61447400391,2499.05985857987,312.668091297193,2143.73603948389,11991.9420627005,4080.97407734368,27.0000000000449,28524.5705768125
"BW-4-2",2389.59209418982,3359.68256891413,248.144892231901,1825.61434096938,2599.59209418968,752.668224331724,2244.2682750937,11551.9419296659,4181.50631295349,413.000133034486,28625.1028124224
"AW-4-R alt",2401.59209418987,3371.68256891417,260.144892231948,1813.61434096933,2611.59209418973,764.66822433177,2256.26827509375,11539.9419296659,4193.50631295354,425.000133034532,28637.1028124224
"BW-4-3",2434.59209419011,3404.68256891442,293.14489223219,1780.61434096909,2644.59209418997,797.668224332012,2289.26827509399,11506.9419296657,4226.50631295378,458.000133034774,28670.1028124226
"BW-4-4",2501.178215767,3471.2686904913,359.731013809077,1714.0282193922,2711.17821576686,864.2543459089,2355.85439667088,11440.3558080888,4293.09243453067,524.586254611661,28736.6889339995
"SW-4-2",2540.05485491046,3510.14532963477,398.607652952541,1675.15158024874,2750.05485491032,903.130985052364,2394.73103581434,11401.4791689453,4331.96907367413,563.462893755125,28775.565573143
"BW-4-9",2549.05485491055,3519.14532963486,407.607652952633,1666.15158024865,2759.05485491041,912.130985052455,2403.73103581443,11392.4791689452,4340.96907367422,572.462893755217,28784.5655731431
"BW-4-5",2622.27813311398,3592.36860783828,480.830931156058,1592.92830204522,2832.27813311384,985.354263255881,2476.95431401786,11319.2558907418,4414.19235187765,645.686171958642,28857.7888513465
"BW-4-6",2681.81733373168,3651.90780845599,540.370131773759,1533.38910142752,2891.81733373154,1044.89346387358,2536.49351463556,11259.7166901241,4473.73155249535,705.225372576343,28917.3280519642
"AW-4-3",2835.031254066,3805.1217287903,693.584052108076,1380.1751810932,3045.03125406586,1198.1073842079,2689.70743496988,11106.5027697898,4626.94547282966,858.43929291066,29070.5419722985
"BW-4-7",2934.24232665244,3904.33280137674,792.795124694515,1280.96410850676,3144.2423266523,1297.31845679434,2788.91850755631,11007.2916972033,4726.1565454161,957.650365497099,29169.753044885
"BW-4-8",2949.24232665251,3919.33280137681,807.795124694587,1265.96410850669,3159.24232665237,1312.31845679441,2803.91850755639,10992.2916972033,4741.15654541618,972.650365497172,29184.753044885
"MF-4-1R",3085.09954101934,4055.19001574365,943.652339061421,1251.39715953064,3295.0995410192,1448.17567116124,2939.77572192322,10856.4344828364,4877.01375978301,1108.507579864,29320.6102592519
"AW-4-1",2601.27813311393,3571.36860783823,459.830931156007,1613.92830204527,2811.27813311379,964.354263255829,2455.95431401781,11340.2558907418,4393.1923518776,624.686171958591,28836.7888513465
"MF-5-1",981.733671351559,1837.19826725859,1274.33940942364,3348.09864262492,1191.73367135142,1734.62015734292,721.78397343816,13074.4262313215,2773.64789011523,1394.95206604568,27217.2443895841
"MF-5-6",1196.36026233357,1622.57167627657,1488.96600040565,3562.72523360693,1406.36026233343,1949.24674832493,507.157382456148,13289.0528223035,2988.27448109724,1609.57865702769,27431.8709805661
"AW-5-1",1402.54769691344,1416.38424169671,1695.15343498552,3768.9126681868,1612.5476969133,2155.4341829048,300.969947876283,13495.2402568834,3194.4619156771,1815.76609160756,27638.058415146
"BE-5-1",1399.26811904342,1419.66381956673,1691.8738571155,3765.63309031678,1609.26811904328,2152.15460503478,304.2495257463,13491.9606790133,3191.18233780708,1812.48651373754,27634.7788372759
"AW-5-2",1420.54769691341,1398.38424169673,1713.15343498549,3786.91266818677,1630.54769691327,2173.43418290477,282.969947876306,13513.2402568833,3212.46191567708,1833.76609160754,27656.0584151459
"SY-5-1",2219.4769968415,599.454941768642,2512.08273491358,4585.84196811486,2429.47699684136,2972.36348283286,515.959352051783,14312.1695568114,4011.39121560517,2632.69539153562,28454.987715074
"BE-5-2",2239.94339997571,578.988538634433,2532.54913804779,4606.30837124907,2449.94339997557,2992.82988596707,536.425755185992,14332.6359599456,4031.85761873938,2653.16179466983,28475.4541182082
"BW-5-8",3444.98990735323,626.057968743085,3737.59564542531,5811.35487862659,3654.98990735309,4197.87639334459,1741.47226256351,15537.6824673232,5236.9041261169,3858.20830204735,29680.5006255858
"BW-5-9",3405.23314680063,586.301208190485,3697.83888487271,5771.59811807399,3615.23314680049,4158.11963279199,1701.71550201091,15497.9257067706,5197.1473655643,3818.45154149475,29640.7438650332
"AW-5-5",3378.23314680064,559.301208190495,3670.83888487272,5744.598118074,3588.2331468005,4131.119632792,1674.71550201092,15470.9257067706,5170.14736556431,3791.45154149476,29613.7438650332
"BW-5-7",3472.63613771465,653.704199104509,3765.24187578673,5839.00110898801,3682.63613771451,4225.52262370601,1769.11849292493,15565.3286976846,5264.55035647832,3885.85453240878,29708.1468559472
"BW-5-6",3481.6361377147,662.704199104554,3774.24187578678,5848.00110898806,3691.63613771456,4234.52262370606,1778.11849292498,15574.3286976846,5273.55035647836,3894.85453240882,29717.1468559472
"MF-5-4",3472.63613771465,653.704199104509,3765.24187578673,5839.00110898801,3682.63613771451,4225.52262370601,1769.11849292493,15565.3286976846,5264.55035647832,3885.85453240878,29708.1468559472
"BW-5-1",3450.98990735323,632.057968743088,3743.59564542531,5817.35487862659,3660.98990735309,4203.87639334459,1747.47226256351,15543.6824673232,5242.9041261169,3864.20830204736,29686.5006255858
"AW-5-3",3396.23314680065,577.301208190507,3688.83888487273,5762.59811807401,3606.23314680051,4149.11963279201,1692.71550201093,15488.9257067706,5188.14736556432,3809.45154149477,29631.7438650332
"SW-5-1",3374.44488022068,555.51294161054,3667.05061829277,5740.80985149404,3584.44488022054,4127.33136621205,1670.92723543097,15467.1374401906,5166.35909898435,3787.66327491481,29609.9555984532
"BE-5-4",3411.23314680063,592.301208190488,3703.83888487271,5777.59811807399,3621.23314680049,4164.11963279199,1707.71550201091,15503.9257067706,5203.1473655643,3824.45154149476,29646.7438650332
"BE-5-3",3318.02605593198,499.094117321836,3610.63179400406,5684.39102720534,3528.02605593184,4070.91254192334,1614.50841114226,15410.7186159019,5109.94027469565,3731.2444506261,29553.5367741645
"MF-5-3",3336.98436068791,518.052422077765,3629.59009875999,5703.34933196127,3546.98436068777,4089.87084667927,1633.46671589819,15429.6769206578,5128.89857945158,3750.20275538203,29572.4950789204
