seg,vert,snapdist,OBJECTID,Plant_ID,Lat,Long
11,7,49.371,1,BW 1-1,3767213,405921.9997
11,28,61.836,2,BW 1-2,3767173.404,405872.602
11,189,150.643,3,AW 1-1,3767140.279,405345.9364
11,73,59.392,4,AW 1-2,3767113.631,405751.6838
11,157,31.484,5,SW 1-2,3767022.177,405513.9826
11,168,34.197,6,BW 1-4,3767005.355,405487.4302
11,182,43.110,7,SW 1-3R,3766978.163,405454.2488
11,175,54.369,8,BW 1-10R,3766977.806,405478.0713
10,4,49.835,9,MF 1-1R,3766942.549,405399.9883
11,101,62.851,10,MF 1-2RR,3767072.385,405679.4424
11,90,3.907,11,SW 1-1,3767147,405679.0002
11,89,25.464,12,BW 1-3,3767122,405693.9998
11,116,12.301,13,AW 1-7,3767096,405614.9995
10,10,33.300,14,AW 1-4R,3767008.728,405347.0095
11,89,23.107,15,MF 1-3R,3767165.497,405672.4328
8,56,68.211,16,BW 1-5,3766765,405090.9996
8,62,49.018,17,SW 1-4,3766774,405065.9996
8,43,184.255,18,SW 1-6,3767008.771,405014.2297
8,78,5.935,19,BW 1-6,3766802,404999.0004
8,132,47.852,20,BW-1-7R,3766681.205,404876.7574
8,117,48.947,21,MF-1-4,3766701,404918.9996
8,120,58.336,22,BW-1-8R,3766687.712,404913.3829
8,295,42.098,23,BW-2-1R,3766466.691,404441.0373
8,323,30.419,24,MF-2-1R,3766492.95,404333.8362
8,141,66.913,25,AW 1-5,3766772.076,404801.75
8,170,16.014,26,AW 1-6,3766687.617,404746.2297
8,228,11.077,27,SW 1-5,3766606,404594.9998
2,3,4.145,28,BW 1-9,3766635.572,401833.6836
8,399,70.107,29,BW-2-4,3766422.728,404111.2499
8,404,25.818,30,BW-2-5,3766330.811,404142.2753
8,412,72.562,31,BW-2-3,3766408.121,404077.6066
8,425,74.862,32,BW-2-2,3766391.689,404040.7309
8,453,59.579,33,AW-2-1,3766339,403972.0003
8,476,10.698,34,BW-2-9,3766245.6,403944.2355
8,495,27.831,35,AW-2-2,3766204,403900.9999
8,504,36.492,36,BW-2-8,3766184.044,403881.2224
8,521,14.053,37,BW-2-7,3766181.073,403826.4644
8,557,67.811,38,BW-2-6,3766221.282,403709.854
1,668,11.421,39,MF-5-2R (1),3765681.093,401721.1154
8,512,82.692,40,BW-3-4,3766279.505,403806.3397
8,552,27.376,41,BW-3-5,3766183.464,403725.3132
8,550,8.902,42,AW-3-1,3766167.725,403735.9156
8,512,16.474,43,BW 2-10R,3766190.998,403851.0408
8,563,26.649,44,BW-3-6,3766124.826,403709.043
8,568,85.813,45,BW-3-7,3766063.888,403706.1637
8,593,71.772,46,BW-3-8,3766063.189,403631.0748
8,589,9.086,47,BW-3-1,3766127.35,403631.7292
8,613,14.376,48,MF-3-1,3766107.247,403567.7882
8,632,6.745,49,BW-3-3,3766092.319,403510.8097
8,679,52.935,50,BW-3-9,3765995.665,403407.4597
8,705,38.221,51,BW-3-10,3765970.735,403332.6034
9,72,26.564,52,BW-3-2,3765903,403122.0002
9,192,98.124,53,MF-3-2,3765569.115,402957.8615
9,155,75.168,54,SY-3-1,3765670.79,403011.5791
9,175,88.002,55,BE-3-1,3765615.417,402982.7566
9,189,11.969,56,BW-3-11,3765632.13,402898.1209
9,329,17.382,57,BW-4-1,3765267.044,402698.0238
9,335,75.540,58,SW-4-1,3765226.014,402783.0144
7,98,68.827,59,AW-5-4,3765226.06,402516.6159
7,101,75.540,60,MF-5-5,3765218.437,402510.6007
7,104,98.231,61,BW-5-5,3765205.975,402488.9869
7,106,133.387,62,BW-5-3,3765193.796,402454.8805
7,106,161.874,63,BW-5-10,3765170.651,402430.2642
7,98,164.950,64,AW-5-6,3765219.315,402420.7006
7,107,133.506,65,BW-5-11,3765151.973,402467.0071
7,106,103.733,66,BW-5-4,3765173.948,402490.0185
6,94,156.116,67,BW-4-2,3764913.964,402437.0338
6,98,115.669,68,AW-4-R alt,3764882.046,402464.4531
6,109,85.393,69,BW-4-3,3764836.313,402470.5847
6,132,83.045,70,BW-4-4,3764818.139,402448.7882
3,5,85.618,71,SW-4-2,3771471.312,402508.164
6,148,71.652,72,BW-4-9,3764794.75,402425.0899
6,173,47.697,73,BW-4-5,3764754.028,402364.0021
6,194,41.008,74,BW-4-6,3764735.945,402310.9949
6,246,33.621,75,AW-4-3,3764616.092,402216.2669
6,280,11.919,76,BW-4-7,3764541.969,402141.0146
6,285,37.765,77,BW-4-8,3764531,402114
4,22,95.867,78,MF-4-1R,3764471.527,402037.5183
6,166,103.772,79,AW-4-1,3764814,402366.0001
1,21,20.453,80,MF-5-1,3766053.734,403275.7728
1,95,1.673,81,MF-5-6,3766022.686,403056.4002
1,166,47.074,82,AW-5-1,3765913,402868.9998
1,164,62.172,83,BE-5-1,3765899,402875.9996
1,172,71.034,84,AW-5-2,3765887,402851.0002
1,450,46.701,85,SY-5-1,3765702,402298.9995
1,457,73.116,86,BE-5-2,3765745.791,402293.1902
1,874,123.603,87,BW-5-8,3765271.331,401220.0036
1,860,117.234,88,BW-5-9,3765276.034,401272.611
1,851,172.009,89,AW-5-5,3765222.203,401314.0676
1,884,75.639,90,BW-5-7,3765321.756,401195.1994
1,887,53.041,91,BW-5-6,3765352.48,401173.2026
1,884,10.008,92,MF-5-4,3765388,401199
1,876,4.121,93,BW-5-1,3765391,401224.0003
1,857,33.688,94,AW-5-3,3765427,401280.0003
1,849,16.920,95,SW-5-1,3765377.477,401304.3145
1,862,73.808,96,BE-5-4,3765467.001,401262.9997
1,829,19.506,97,BE-5-3,3765437,401327.9999
1,836,17.789,98,MF-5-3,3765424,401320.9999
