,USGS 11087020,LACDPW F313B,LACDPW G44B,Rincon Ditch Company Well 4,San Gabriel Valley Water Company Well B2,City of Whittier Well 18,City of Whittier Well 15,SJC-001,SJC-002,WN001,POM001
BW 1-1,1959.882,4778.814,4101.329,6175.089,1749.882,4561.610,3663.400,15901.416,1391.932,4221.942,25835.529
BW 1-2,1896.882,4715.814,4038.329,6112.089,1686.882,4498.610,3600.400,15838.416,1328.932,4158.942,25772.529
AW 1-1,1413.882,4232.814,3555.329,5629.089,1203.882,4015.610,3117.400,15355.416,845.932,3675.942,25289.529
AW 1-2,1761.882,4580.814,3903.329,5977.089,1551.882,4363.610,3465.400,15703.416,1193.932,4023.942,25637.529
SW 1-2,1509.882,4328.814,3651.329,5725.089,1299.882,4111.610,3213.400,15451.416,941.932,3771.942,25385.529
BW 1-4,1476.882,4295.814,3618.329,5692.089,1266.882,4078.610,3180.400,15418.416,908.932,3738.942,25352.529
SW 1-3R,1434.882,4253.814,3576.329,5650.089,1224.882,4036.610,3138.400,15376.416,866.932,3696.942,25310.529
BW 1-10R,1455.882,4274.814,3597.329,5671.089,1245.882,4057.610,3159.400,15397.416,887.932,3717.942,25331.529
MF 1-1R,1370.954,4189.886,3512.401,5586.160,1160.954,3972.682,3074.472,15312.488,803.004,3633.014,25246.601
MF 1-2RR,1677.882,4496.814,3819.329,5893.089,1467.882,4279.610,3381.400,15619.416,1109.932,3939.942,25553.529
SW 1-1,1710.882,4529.814,3852.329,5926.089,1500.882,4312.610,3414.400,15652.416,1142.932,3972.942,25586.529
BW 1-3,1713.882,4532.814,3855.329,5929.089,1503.882,4315.610,3417.400,15655.416,1145.932,3975.942,25589.529
AW 1-7,1632.882,4451.814,3774.329,5848.089,1422.882,4234.610,3336.400,15574.416,1064.932,3894.942,25508.529
AW 1-4R,1352.954,4171.886,3494.401,5568.160,1142.954,3954.682,3056.472,15294.488,785.004,3615.014,25228.601
MF 1-3R,1713.882,4532.814,3855.329,5929.089,1503.882,4315.610,3417.400,15655.416,1145.932,3975.942,25589.529
BW 1-5,1014.932,3833.864,3156.379,5230.138,804.932,3616.660,2718.450,14956.466,776.982,3276.992,25220.579
SW 1-4,996.932,3815.864,3138.379,5212.138,786.932,3598.660,2700.450,14938.466,794.982,3258.992,25238.579
SW 1-6,1053.932,3872.864,3195.379,5269.138,843.932,3655.660,2757.450,14995.466,737.982,3315.992,25181.579
BW 1-6,948.932,3767.864,3090.379,5164.138,738.932,3550.660,2652.450,14890.466,842.982,3210.992,25286.579
